"","type_of_monument_clean","type_of_inscription_auto","n"
"1","NULL","epitaph",142
"2","NULL","votive inscription",8
"3","NULL",NA,9
"4","altar","epitaph",7
"5","altar","votive inscription",21
"6","base","epitaph",1
"7","cliff","epitaph",6
"8","honorific/grave/votive column","epitaph",1
"9","honorific/grave/votive column","votive inscription",1
"10","statue base","epitaph",1
"11","statue base","votive inscription",2
"12","stele","epitaph",123
"13","stele",NA,1
"14","tabula","epitaph",23
"15","tabula","votive inscription",4
"16","urn","epitaph",1
"17",NA,"epitaph",8
"18",NA,"votive inscription",1
