"","type_of_monument_clean","type_of_inscription_clean","n"
"1","NULL","NULL",20
"2","NULL","epitaph",119
"3","NULL","votive inscription",18
"4","altar","epitaph",5
"5","altar","votive inscription",99
"6","base","epitaph",1
"7","cliff","epitaph",6
"8","honorific/grave/votive column","epitaph",1
"9","honorific/grave/votive column","votive inscription",2
"10","relief","votive inscription",2
"11","sarcophagus","epitaph",4
"12","statue base","votive inscription",4
"13","stele","NULL",1
"14","stele","epitaph",114
"15","tabula","NULL",4
"16","tabula","epitaph",39
"17","tabula","votive inscription",8
"18","urn","epitaph",3
"19",NA,NA,15
