"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","comment","photo"
"EDCS-64100417","AE 2011, 00888","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,NA
"EDCS-31200692","CIL 03, 14022 (p 2328,179)","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","Leg(io) XI C(laudia) P(ia) F(idelis)","Legio XI Claudia Pia Fidelis",NA,NA,NA,NA
"EDCS-55300299","Legio-VII 00076","Dalmatia","?","?","","","milites;  tituli sepulcrales;  viri","] / mil(es) leg(ionis) V[II 3] / an(n)or(um) XXIV stip(endiorum) / V h(ic) s(itus) e(st) / frater pos(u)it","miles legionis VII annorum XXIV stipendiorum V hic situs est frater posuit",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00076.jpg"
"EDCS-55300300","Legio-VII 00100","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII [C(laudiae) P(iae) F(idelis)]","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00100.jpg"
"EDCS-55300301","Legio-VII 00101","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00101.jpg"
"EDCS-55300302","Legio-VII 00102","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00102.jpg"
"EDCS-55300303","Legio-VII 00103","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","[L]eg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00103.jpg"
"EDCS-55300304","Legio-VII 00104","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00104.jpg"
"EDCS-55300305","Legio-VII 00105","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","Leg(ionis) VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00105.jpg"
"EDCS-55300306","Legio-VII 00106","Dalmatia","?","?","","","milites;  sigilla impressa;  tituli fabricationis","[Leg(ionis)] VII C(laudiae) P(iae) F(idelis)","Legionis VII Claudiae Piae Fidelis",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00106.jpg"
"EDCS-71400059","REMCacak 00002","Dalmatia","?","?","","","milites;  tituli sacri;  tria nomina;  viri","[Di]anae / [3 I]ul(ius) Capito / [b(ene)f(iciarius)] co(n)s(ularis) ex / [le]g(ione) XI Cl(audia) / [v(otum)] s(olvit) l(ibens) m(erito)","Dianae Iulius Capito beneficiarius consularis ex legione XI Claudia votum solvit libens merito",NA,NA,NA,"http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$REMCacak_00002_1.jpg;$REMCacak_00002_2.jpg"
"EDCS-31200493","CIL 03, 15007a","Dalmatia","Burnum","Burnum","","","milites;  tituli sepulcrales;  viri","m]il(es) coh(ortis) [3] / [3]e ann(orum) [","miles cohortis e annorum","44.0183606","16.0181762",NA,NA
