"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,267
"2","Burnum",15.9936,44.0317,69
"3","Tilurium",16.689,43.6139,51
"4","Bigeste",17.5271,43.1818,38
"5","Narona",17.625,43.0801,25
"6","Municipium Malvesiatium",19.5333,43.9667,21
"7","Iader",15.4483,43.9393,17
"8","Municipium Magnum",16.2988,43.8047,12
"9","Andetrium",16.5206,43.6922,9
"10","Municipium S[---]",19.3204,43.3424,9
"11","Ninia",16.1994,44.0408,9
"12","Novae",17.1968,43.4057,9
"13","Raetinium",15.9292,44.7885,8
"14","Siculi",16.3004,43.5306,8
"15","Aequum",16.6547,43.7423,7
"16","Doclea",19.2615,42.469,7
"17","Pituntium",16.5681,43.4741,5
"18","Corinium",15.6256,44.1075,4
"19","Diluntum",17.8414,43.1138,4
"20","Domavium",19.3585,44.1375,4
"21","Epidaurum",18.2137,42.5848,4
"22","Metulum",15.2771,45.2255,4
"23","NULL",15.9208,43.8227,4
"24","NULL",18.0640574,44.7072623,4
"25","Rider",16.0486,43.7034,4
"26","Salviae",16.7894,44.0726,4
"27","Tragurium",16.524,43.5594,4
"28","Albona",14.1232,45.0949,3
"29","Arba",14.7596,44.7565,3
"30","Delminium",17.2302,43.7183,3
"31","Municipium Salvium",16.8281,44.1301,3
"32","NULL",16.654819,43.3239838,3
"33","NULL",19.626587,43.3691604,3
"34","Nedinum",15.5095,44.0721,3
"35","Promona",16.2114,43.8955,3
"36","Ansium",15.666,44.179,2
"37","Argyruntum",15.4403,44.2951,2
"38","Asseria",15.6844,44.0103,2
"39","NULL",16.3977809,43.9096687,2
"40","NULL",16.6062547,43.4936069,2
"41","NULL",17.2354538,43.38889,2
"42","NULL",17.5172138,43.2253241,2
"43","NULL",17.540558,43.1904758,2
"44","NULL",18.9765501,43.6673112,2
"45","Ris---",18.9996,43.7977,2
"46","Senia",14.902,44.9931,2
"47","(Domavium) Ad Drinum",19.1032,44.3869,1
"48","Ad Turres",17.751,43.1604,1
"49","Aenona",15.1842,44.2435,1
"50","Alveria",15.8139,43.9937,1
"51","Apsorus",14.3919,44.693,1
"52","Arupium",15.2789,44.8428,1
"53","Aufustianis",17.3588,43.3203,1
"54","Avendo",15.1447,44.92,1
"55","Baloie",17.1009,44.285,1
"56","Bersellum",17.5765,44.241,1
"57","Capedunum",19.6639,43.8561,1
"58","Castra",17.0998,44.785,1
"59","Colentum, insula",15.595,43.8257,1
"60","Epetium",16.5235,43.4987,1
"61","Flanona",14.1801,45.1382,1
"62","Fulfinum",14.5441,45.204,1
"63","Laurento",17.0580946,43.2651336,1
"64","Muccurum",17.0178,43.2969,1
"65","Municipium Malvesatium",19.5333,43.9667,1
"66","NULL",15.0315195,44.0211315,1
"67","NULL",15.44778,44.44889,1
"68","NULL",15.923372,43.8178655,1
"69","NULL",16.0454253,43.9559481,1
"70","NULL",16.1994,44.0408,1
"71","NULL",16.199433,44.04085,1
"72","NULL",16.2226592,44.0169772,1
"73","NULL",16.2605765,43.3996977,1
"74","NULL",16.36568,44.1808174,1
"75","NULL",16.3760681,45.0492984,1
"76","NULL",16.4919213,43.5441591,1
"77","NULL",16.605865,44.8291443,1
"78","NULL",16.6534966,43.7425382,1
"79","NULL",16.6913309,43.4447124,1
"80","NULL",16.708363,44.9778475,1
"81","NULL",16.7779,43.871,1
"82","NULL",16.9737159,43.8406854,1
"83","NULL",17.3082922,43.9793723,1
"84","NULL",17.3723608,43.2050358,1
"85","NULL",17.4288843,42.925148,1
"86","NULL",17.4773288,43.2403439,1
"87","NULL",17.5120379,43.2007125,1
"88","NULL",17.528889,43.182222,1
"89","NULL",17.583559,43.9385698,1
"90","NULL",17.9055721,44.2010759,1
"91","NULL",18.1041299,43.5040612,1
"92","NULL",18.1520712,43.7874012,1
"93","NULL",18.2177461,42.5814314,1
"94","NULL",18.3866868,43.8519774,1
"95","NULL",19.3584715,43.3565611,1
"96","NULL",20.0772378,42.3723673,1
"97","Narona",17.6884,43.0645,1
"98","Nigra Corcyra, insula",17.1099,42.945,1
"99","Oneum",16.7019,43.4422,1
"100","Pharia, insula",16.4428,43.1725,1
"101","Salonae",16.3977809,43.9096687,1
"102","Scardona",15.9208,43.8227,1
"103","Scodra",19.5277,42.0743,1
"104","Solentia, insula",16.2752,43.3972,1
"105","Tarsatica",14.4444,45.3278,1
