"","findspot_ancient_clean","Longitude","Latitude","n"
"1","Salonae",16.4743,43.5384,221
"2","Burnum",15.9936,44.0317,54
"3","Tilurium",16.689,43.6139,39
"4","Bigeste",17.5271,43.1818,35
"5","Narona",17.625,43.0801,14
"6","Iader",15.223778,44.115501,11
"7","Ninia",16.1994,44.0408,9
"8","Siculi",16.3004,43.5306,7
"9","Aequum",16.6547,43.7423,6
"10","Andetrium",16.5206,43.6922,6
"11","Municipium S[---]",19.3204,43.3424,5
"12","Pituntium",16.5681,43.4741,4
"13","Rider",16.0486,43.7034,4
"14","Albona",14.1232,45.0949,3
"15","Corinium",15.6256,44.1075,3
"16","Doclea",19.2615,42.469,3
"17","Municipium Magnum",16.2988,43.8047,3
"18","NULL",15.9208,43.8227,3
"19","NULL",18.0640574,44.7072623,3
"20","Raetinium",15.9292,44.7885,3
"21","Ansium",15.666,44.179,2
"22","Argyruntum",15.4403,44.2951,2
"23","Asseria",15.6844,44.0103,2
"24","Domavium",19.3585,44.1375,2
"25","Epidaurum",18.2137,42.5848,2
"26","Municipium Malvesiatium",19.5333,43.9667,2
"27","NULL",17.2354538,43.38889,2
"28","NULL",17.5172138,43.2253241,2
"29","NULL",17.540558,43.1904758,2
"30","Promona",16.2114,43.8955,2
"31","Tragurium",16.524,43.5594,2
"32","Apsorus",14.3919,44.693,1
"33","Arupium",15.2789,44.8428,1
"34","Bersellum",17.5765,44.241,1
"35","Colentum, insula",15.595,43.8257,1
"36","Delminium",17.2302,43.7183,1
"37","Diluntum",17.8414,43.1138,1
"38","Flanona",14.1801,45.1382,1
"39","Fulfinum",14.5441,45.204,1
"40","Iader",15.4483,43.9393,1
"41","Laurento",17.0580946,43.2651336,1
"42","NULL",15.44778,44.44889,1
"43","NULL",16.0454253,43.9559481,1
"44","NULL",16.1994,44.0408,1
"45","NULL",16.199433,44.04085,1
"46","NULL",16.2226592,44.0169772,1
"47","NULL",16.2605765,43.3996977,1
"48","NULL",16.36568,44.1808174,1
"49","NULL",16.3760681,45.0492984,1
"50","NULL",16.3977809,43.9096687,1
"51","NULL",16.4919213,43.5441591,1
"52","NULL",16.6534966,43.7425382,1
"53","NULL",16.6913309,43.4447124,1
"54","NULL",16.708363,44.9778475,1
"55","NULL",16.7779,43.871,1
"56","NULL",16.9737159,43.8406854,1
"57","NULL",17.3082922,43.9793723,1
"58","NULL",17.4773288,43.2403439,1
"59","NULL",17.5120379,43.2007125,1
"60","NULL",17.528889,43.182222,1
"61","NULL",17.583559,43.9385698,1
"62","NULL",17.9055721,44.2010759,1
"63","NULL",18.1041299,43.5040612,1
"64","NULL",18.1520712,43.7874012,1
"65","NULL",18.2177461,42.5814314,1
"66","NULL",20.0772378,42.3723673,1
"67","Narona",17.6884,43.0645,1
"68","Nedinum",15.5095,44.0721,1
"69","Scardona",15.9208,43.8227,1
"70","Senia",14.902,44.9931,1
"71","Solentia, insula",16.2752,43.3972,1
"72","Tarsatica",14.4444,45.3278,1
